"1","1","Banda Aceh"
"2","1","Langsa"
"3","1","Lhokseumawe"
"4","1","Meulaboh"
"5","1","Sabang"
"6","1","Subulussalam"
"7","17","Denpasar"
"8","1","Pangkalpinang"
"9","14","Cilegon"
"10","14","Serang"
"11","14","Tangerang Selatan"
"12","14","Tangerang"
"13","7","Bengkulu"
"14","29","Gorontalo"
"15","11","Kota Administrasi Jakarta Barat"
"16","11","Kota Administrasi Jakarta Pusat"
"17","11","Kota Administrasi Jakarta Selatan"
"18","11","Kota Administrasi Jakarta Timur"
"19","11","Kota Administrasi Jakarta Utara"
"20","5","Sungai Penuh"
"21","5","Jambi"
"22","12","Bandung"
"23","12","Bekasi"
"24","12","Bogor"
"25","12","Cimahi"
"26","12","Cirebon"
"27","12","Depok"
"28","12","Sukabumi"
"29","12","Tasikmalaya"
"30","12","Banjar"
"31","13","Magelang"
"32","13","Pekalongan"
"33","13","Purwokerto"
"34","13","Salatiga"
"35","13","Semarang"
"36","13","Surakarta"
"37","13","Tegal"
"38","15","Batu"
"39","15","Blitar"
"40","15","Kediri"
"41","15","Madiun"
"42","15","Malang"
"43","15","Mojokerto"
"44","15","Pasuruan"
"45","15","Probolinggo"
"46","15","Surabaya"
"47","20","Pontianak"
"48","20","Singkawang"
"49","22","Banjarbaru"
"50","22","Banjarmasin"
"51","21","Palangkaraya"
"52","23","Balikpapan"
"53","23","Bontang"
"54","23","Samarinda"
"55","24","Tarakan"
"56","10","Batam"
"57","10","Tanjungpinang"
"58","8","Bandar Lampung"
"59","8","Metro"
"60","32","Ternate"
"61","32","Tidore Kepulauan"
"62","31","Ambon"
"63","31","Tual"
"64","18","Bima"
"65","18","Mataram"
"66","19","Kupang"
"67","34","Sorong"
"68","33","Jayapura"
"69","4","Dumai"
"70","4","Pekanbaru"
"71","27","Makassar"
"72","27","Palopo"
"73","27","Parepare"
"74","26","Palu"
"75","28","Bau-Bau"
"76","28","Kendari"
"77","25","Bitung"
"78","25","Kotamobagu"
"79","25","Manado"
"80","25","Tomohon"
"81","3","Bukittinggi"
"82","3","Padang"
"83","3","Padangpanjang"
"84","3","Pariaman"
"85","3","Payakumbuh"
"86","3","Sawahlunto"
"87","3","Solok"
"88","6","Lubuklinggau"
"89","6","Pagaralam"
"90","6","Palembang"
"91","6","Prabumulih"
"92","2","Binjai"
"93","2","Medan"
"94","2","Padang Sidempuan"
"95","2","Pematangsiantar"
"96","2","Sibolga"
"97","2","Tanjungbalai"
"98","2","Tebingtinggi"
"99","16","Yogyakarta"
